rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
3,8,8192,8192,1024,32,NCCL,0.5662144184112549,242.73305130173293
3,8,8192,8192,1024,32,TK,0.5702271938323975,241.02490193127545
4,8,8192,8192,1024,32,NCCL,0.5687424182891846,241.65412856917828
4,8,8192,8192,1024,32,TK,0.5704576015472412,240.9275520200396
5,8,8192,8192,1024,32,NCCL,0.5690688133239746,241.51552545852675
5,8,8192,8192,1024,32,TK,0.5701375961303711,241.06277923929855
6,8,8192,8192,1024,32,NCCL,0.567084789276123,242.36050070649785
6,8,8192,8192,1024,32,TK,0.5685760021209717,241.72485817077825
7,8,8192,8192,1024,32,NCCL,0.5736127853393554,239.6023188198109
7,8,8192,8192,1024,32,TK,0.5704319953918457,240.93836703109423
0,8,8192,8192,1024,64,NCCL,0.5741888046264648,239.36195266191248
0,8,8192,8192,1024,64,TK,0.7383359909057617,186.14689675820253
1,8,8192,8192,1024,64,NCCL,0.5686975955963135,241.67317487580902
1,8,8192,8192,1024,64,TK,0.738316822052002,186.15172967347036
2,8,8192,8192,1024,64,NCCL,0.5643392086029053,243.53961478637626
2,8,8192,8192,1024,64,TK,0.7382463932037353,186.16948858437658
3,8,8192,8192,1024,64,NCCL,0.5684224128723144,241.7901728707399
3,8,8192,8192,1024,64,TK,0.7382656097412109,186.16464272279643
4,8,8192,8192,1024,64,NCCL,0.5656256198883056,242.98572879202348
4,8,8192,8192,1024,64,TK,0.7383552074432373,186.14205207263458
5,8,8192,8192,1024,64,NCCL,0.5655231952667237,243.02973710420176
5,8,8192,8192,1024,64,TK,0.7377600193023681,186.29222223503436
6,8,8192,8192,1024,64,NCCL,0.5668288230895996,242.4699448466028
6,8,8192,8192,1024,64,TK,0.7357952117919921,186.7896817883258
7,8,8192,8192,1024,64,NCCL,0.57292799949646,239.88870083639404
7,8,8192,8192,1024,64,TK,0.7383999824523926,186.130764813312
0,8,16384,16384,2048,1,NCCL,2.75732479095459,398.7602880092147
0,8,16384,16384,2048,1,TK,2.259231948852539,486.67496417729063
1,8,16384,16384,2048,1,NCCL,2.753273582458496,399.3470299432455
1,8,16384,16384,2048,1,TK,2.259219169616699,486.67771704617036
2,8,16384,16384,2048,1,NCCL,2.7488576889038088,399.98855968948465
2,8,16384,16384,2048,1,TK,2.258963203430176,486.7328631588246
3,8,16384,16384,2048,1,NCCL,2.7456512451171875,400.45567685675667
3,8,16384,16384,2048,1,TK,2.259238433837891,486.67356721096496
4,8,16384,16384,2048,1,NCCL,2.748966407775879,399.9727405419943
4,8,16384,16384,2048,1,TK,2.2591360092163084,486.69563199845555
5,8,16384,16384,2048,1,NCCL,2.748019218444824,400.110603447032
5,8,16384,16384,2048,1,TK,2.2579839706420897,486.94394737591443
6,8,16384,16384,2048,1,NCCL,2.7529983520507812,399.38695457516155
6,8,16384,16384,2048,1,TK,2.257721519470215,487.0005526784391
7,8,16384,16384,2048,1,NCCL,2.7588544845581056,398.5391886125927
7,8,16384,16384,2048,1,TK,2.259212875366211,486.67907294825983
0,8,16384,16384,2048,2,NCCL,2.7498943328857424,399.83777362898564
0,8,16384,16384,2048,2,TK,1.631507110595703,673.9238956638941
1,8,16384,16384,2048,2,NCCL,2.7464832305908202,400.3343677942189
1,8,16384,16384,2048,2,TK,1.6313919067382812,673.9714860877945
2,8,16384,16384,2048,2,NCCL,2.7419647216796874,400.9940824849327
2,8,16384,16384,2048,2,TK,1.6313215255737306,674.0005636775406
3,8,16384,16384,2048,2,NCCL,2.738489532470703,401.50295071020605
3,8,16384,16384,2048,2,TK,1.631507110595703,673.9238956638941
4,8,16384,16384,2048,2,NCCL,2.7441408157348635,400.67609558205476
4,8,16384,16384,2048,2,TK,1.631532859802246,673.9132596503566
5,8,16384,16384,2048,2,NCCL,2.746847915649414,400.28121743174546
5,8,16384,16384,2048,2,TK,1.630950355529785,674.1539520489226
6,8,16384,16384,2048,2,NCCL,2.7458751678466795,400.42302019076817
6,8,16384,16384,2048,2,TK,1.629689598083496,674.6754897797828
7,8,16384,16384,2048,2,NCCL,2.7487808227539063,399.9997448594094
7,8,16384,16384,2048,2,TK,1.6315391540527344,673.9106597869986
0,8,16384,16384,2048,4,NCCL,2.7545663833618166,399.159604363609
0,8,16384,16384,2048,4,TK,1.850649642944336,594.1219787159201
1,8,16384,16384,2048,4,NCCL,2.7518720626831055,399.5504161279809
1,8,16384,16384,2048,4,TK,1.8507776260375977,594.0808945967148
2,8,16384,16384,2048,4,NCCL,2.748057556152344,400.105021568568
2,8,16384,16384,2048,4,TK,1.8506240844726562,594.1301839748351
3,8,16384,16384,2048,4,NCCL,2.7423168182373048,400.94259731913087
3,8,16384,16384,2048,4,TK,1.8505407333374024,594.1569444910618
4,8,16384,16384,2048,4,NCCL,2.743552017211914,400.7620853835165
4,8,16384,16384,2048,4,TK,1.8505983352661133,594.1384506962132
5,8,16384,16384,2048,4,NCCL,2.7464128494262696,400.34462699433186
5,8,16384,16384,2048,4,TK,1.8498880386352539,594.3665804700048
6,8,16384,16384,2048,4,NCCL,2.750227165222168,399.78938528417143
6,8,16384,16384,2048,4,TK,1.848953628540039,594.6669569231926
7,8,16384,16384,2048,4,NCCL,2.7546432495117186,399.14846612928795
7,8,16384,16384,2048,4,TK,1.850649642944336,594.1219787159201
0,8,16384,16384,2048,8,NCCL,2.750771141052246,399.71032535822167
0,8,16384,16384,2048,8,TK,2.391993522644043,459.66329647942797
1,8,16384,16384,2048,8,NCCL,2.7511871337890623,399.6498872331166
1,8,16384,16384,2048,8,TK,2.3921600341796876,459.63130060946827
